中国联通-黑龙江-组播,#genre#
深圳卫视,http://139.170.104.157:8000/udp/239.120.1.137:8880
生活时尚,http://139.170.104.157:8000/udp/239.120.1.220:9332
四川卫视,http://139.170.104.157:8000/udp/239.120.1.147:8940
陶瓷HD,http://139.170.104.157:8000/udp/239.120.1.225:9346
天津卫视HD,http://139.170.104.157:8000/udp/239.120.2.196:5141
西藏卫视,http://139.170.104.157:8000/udp/239.120.2.24:5141
西宁生活,http://139.170.104.157:8000/udp/239.120.1.248:9440
西宁新闻,http://139.170.104.157:8000/udp/239.120.1.249:9444
新疆卫视,http://139.170.104.157:8000/udp/239.120.2.29:5141
炫动卡通,http://139.170.104.157:8000/udp/239.120.1.140:8898
游戏风云,http://139.170.104.157:8000/udp/239.120.1.215:9312
云南卫视,http://139.170.104.157:8000/udp/239.120.2.28:5141
早教,http://139.170.104.157:8000/udp/239.120.1.34:9534
浙江卫视HD,http://139.170.104.157:8000/udp/239.120.2.199:5141
中国教育1,http://139.170.104.157:8000/udp/239.120.1.133:8856
中国天气,http://139.170.104.157:8000/udp/239.120.2.226:5141
重庆卫视,http://139.170.104.157:8000/udp/239.120.1.146:8934
CCTV16HD,http://139.170.104.157:8000/udp/239.120.2.105:5141
CCTV17HD,http://139.170.104.157:8000/udp/239.120.2.106:5141
海东综合HD,http://139.170.104.157:8000/udp/239.120.2.198:5141
金鹰纪实HD,http://139.170.104.157:8000/udp/239.120.2.46:5141
纪实科教HD,http://139.170.104.157:8000/udp/239.120.2.231:5141
纪实人文HD,http://139.170.104.157:8000/udp/239.120.2.72:5141
欢笑剧场4K,http://139.170.104.157:8000/udp/239.120.2.233:5141
天元围棋,http://139.170.104.157:8000/udp/239.120.2.227:5141
金色学堂,http://139.170.104.157:8000/udp/239.120.2.84:5141
九画面,http://139.170.104.157:8000/udp/239.120.1.131:8268
海北HD,http://139.170.104.157:8000/udp/239.120.2.234:5141
果洛,http://139.170.104.157:8000/udp/239.120.1.92:8218
黄南,http://139.170.104.157:8000/udp/239.120.1.100:9128
青海油田,http://139.170.104.157:8000/udp/239.120.1.144:8416
矿区生活,http://139.170.104.157:8000/udp/239.120.1.145:8420
CCTV4HD,http://139.170.104.157:8000/udp/239.120.2.33:5141
CCTV10HD,http://139.170.104.157:8000/udp/239.120.2.92:5141
CCTV11HD,http://139.170.104.157:8000/udp/239.120.2.100:5141
CCTV13HD,http://139.170.104.157:8000/udp/239.120.2.102:5141
CCTV15HD,http://139.170.104.157:8000/udp/239.120.2.104:5141
CCTV5+HD,http://139.170.104.157:8000/udp/239.120.2.59:5141
CGTN,http://139.170.104.157:8000/udp/239.120.2.126:5141
安多卫视HD,http://139.170.104.157:8000/udp/239.120.2.163:5141
西宁生活服务HD,http://139.170.104.157:8000/udp/239.120.2.171:5141
西宁新闻综合HD,http://139.170.104.157:8000/udp/239.120.2.172:5141
四川卫视HD,http://139.170.104.157:8000/udp/239.120.2.2:5141
重庆卫视HD,http://139.170.104.157:8000/udp/239.120.2.185:5141
河南卫视HD,http://139.170.104.157:8000/udp/239.120.2.180:5141
吉林卫视HD,http://139.170.104.157:8000/udp/239.120.2.26:5141
